index,new_stem,old_image_name,old_label_name,new_image_name,new_label_name,old_image_relpath,old_label_relpath,new_image_relpath,new_label_relpath
1,0001,01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.txt,0001.jpg,0001.txt,images/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,labels/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.txt,images/train/0001.jpg,labels/train/0001.txt
2,0002,01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.jpg,01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.txt,0002.jpg,0002.txt,images/train/01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.jpg,labels/train/01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.txt,images/train/0002.jpg,labels/train/0002.txt
3,0003,01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.jpg,01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.txt,0003.jpg,0003.txt,images/train/01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.jpg,labels/train/01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.txt,images/train/0003.jpg,labels/train/0003.txt
4,0004,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.txt,0004.jpg,0004.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.txt,images/train/0004.jpg,labels/train/0004.txt
5,0005,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.txt,0005.jpg,0005.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.txt,images/train/0005.jpg,labels/train/0005.txt
6,0006,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.txt,0006.jpg,0006.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.txt,images/train/0006.jpg,labels/train/0006.txt
7,0007,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.txt,0007.jpg,0007.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.txt,images/train/0007.jpg,labels/train/0007.txt
8,0008,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.txt,0008.jpg,0008.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.txt,images/train/0008.jpg,labels/train/0008.txt
9,0009,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.txt,0009.jpg,0009.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.txt,images/train/0009.jpg,labels/train/0009.txt
10,0010,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.txt,0010.jpg,0010.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.txt,images/train/0010.jpg,labels/train/0010.txt
11,0011,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop1.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop1.txt,0011.jpg,0011.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop1.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop1.txt,images/train/0011.jpg,labels/train/0011.txt
