split,image_path,label_path,stem,scene_id,line_no,class_id,class_name,group,x_center,y_center,width_norm,height_norm,x1_norm,y1_norm,x2_norm,y2_norm,width_px,height_px,area_px,area_norm,aspect_ratio,candidate_flags,status
train,shiyan/data/images/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,shiyan/data/labels/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.txt,01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1,01-PAN-20240418-318-232-L00000010061-CCD14_3,1,2,QHS,ship,0.411731,0.178281,0.121951,0.254355,0.3507555,0.051103499999999996,0.47270650000000003,0.30545849999999997,104.99981100000001,218.999655,22994.922384065205,0.031018846605,0.4794519470818345,,ok
train,shiyan/data/images/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,shiyan/data/labels/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.txt,01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1,01-PAN-20240418-318-232-L00000010061-CCD14_3,2,2,QHS,ship,0.156794,0.270035,0.118467,0.24971,0.0975605,0.14518000000000003,0.21602749999999998,0.39489,102.00008700000001,215.00030999999998,21930.05032502697,0.02958239457,0.4744183252572985,,ok
train,shiyan/data/images/train/01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.jpg,shiyan/data/labels/train/01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.txt,01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1,01-PAN-20240418-318-232-L00000010061-CCD18_5,1,3,MS,ship,0.595154,0.504137,0.578014,0.301418,0.30614699999999995,0.35342799999999996,0.884161,0.6548459999999999,488.999844,254.99962800000003,124694.77831205804,0.17422382385200003,1.9176492445706625,,ok
train,shiyan/data/images/train/01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.jpg,shiyan/data/labels/train/01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.txt,01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1,01-PAN-20240420-082-358-L00000010818-CCD16_4,1,3,MS,ship,0.35125,0.143125,0.115,0.20875,0.29375,0.03875000000000001,0.40875,0.2475,92.0,167.0,15364.0,0.02400625,0.5508982035928144,,ok
train,shiyan/data/images/train/01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.jpg,shiyan/data/labels/train/01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.txt,01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1,01-PAN-20240420-082-358-L00000010818-CCD16_4,2,3,MS,ship,0.479375,0.174375,0.10625,0.18625,0.42625,0.08125,0.5325,0.2675,85.0,149.0,12665.0,0.0197890625,0.5704697986577181,,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1,01-PAN-20240420-113-325-L00000010882-CCD3_5,1,3,MS,ship,0.196,0.364,0.2,0.177143,0.096,0.27542849999999997,0.29600000000000004,0.4525715,175.0,155.000125,27125.021875,0.0354286,1.129031347555365,,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1,01-PAN-20240420-113-325-L00000010882-CCD3_5,2,3,MS,ship,0.353714,0.638857,0.12,0.114286,0.293714,0.5817140000000001,0.41371399999999997,0.696,105.0,100.00025,10500.026249999999,0.013714319999999999,1.0499973750065625,,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4,01-PAN-20240420-113-325-L00000010882-CCD3_5,1,3,MS,ship,0.320778,0.77825,0.274605,0.178615,0.1834755,0.6889425,0.4580805,0.8675575,225.999915,147.000145,33222.02027498768,0.049048572075,1.5374128712594126,,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4,01-PAN-20240420-113-325-L00000010882-CCD3_5,2,3,MS,ship,0.590522,0.804982,0.143378,0.207776,0.518833,0.701094,0.662211,0.90887,118.000094,170.99964799999998,20177.97453796691,0.029790507328,0.6900604497150779,,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5,01-PAN-20240420-113-325-L00000010882-CCD3_5,1,2,QHS,ship,0.090522,0.064399,0.181045,0.128797,-5.000000000005e-07,5.000000000005e-07,0.1810445,0.1287975,149.000035,105.99993099999999,15793.993428997583,0.023318052865,1.4056616225533205,edge_touching_box,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5,01-PAN-20240420-113-325-L00000010882-CCD3_5,2,3,MS,ship,0.201094,0.275213,0.154313,0.134872,0.12393749999999999,0.207777,0.2782505,0.342649,126.999599,110.99965599999999,14096.911801137943,0.020812502936,1.144144077347411,,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5,01-PAN-20240420-113-325-L00000010882-CCD3_5,3,1,LQS,ship,0.58627,0.431956,0.27582,0.319563,0.44836,0.2721745,0.7241799999999999,0.5917375,226.99986,263.00034899999997,59701.042402951134,0.08814186666,0.8631161930511355,,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5,01-PAN-20240420-113-325-L00000010882-CCD3_5,4,2,QHS,ship,0.804982,0.706561,0.130012,0.168894,0.739976,0.6221140000000001,0.869988,0.7910079999999999,106.99987599999999,138.999762,14872.95729802951,0.021958246727999998,0.769784598623989,,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6,01-PAN-20240420-113-325-L00000010882-CCD3_5,1,3,MS,ship,0.483986,0.976868,0.151839,0.046263,0.4080665,0.9537365,0.5599055000000001,0.9999994999999999,128.000277,38.999708999999996,4991.973554919393,0.007024527657,3.2820828740029833,edge_touching_box,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6,01-PAN-20240420-113-325-L00000010882-CCD3_5,2,3,MS,ship,0.99051,0.639383,0.01898,0.106762,0.98102,0.586002,1.0,0.692764,16.000140000000002,90.000366,1440.0184560512403,0.00202634276,0.17777861036698453,edge_touching_box,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6,01-PAN-20240420-113-325-L00000010882-CCD3_5,3,3,MS,ship,0.881969,0.372479,0.115065,0.223013,0.8244365,0.2609725,0.9395015,0.4839855,96.999795,187.999959,18235.957483008406,0.025660990845,0.5159564689054001,,ok
train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6,01-PAN-20240420-113-325-L00000010882-CCD3_5,4,3,MS,ship,0.661922,0.206999,0.128114,0.150652,0.597865,0.13167299999999998,0.725979,0.282325,108.000102,126.99963600000001,13715.973641962873,0.019300630328,0.8503969412951703,,ok
