scene_id,image_count,splits
01-PAN-20240418-318-232-L00000010061-CCD14_3,1,train
01-PAN-20240418-318-232-L00000010061-CCD18_5,1,train
01-PAN-20240420-082-358-L00000010818-CCD16_4,1,train
01-PAN-20240420-113-325-L00000010882-CCD3_5,7,train
01-PAN-20240420-113-325-L00000010882-CCD3_6,4,train
01-PAN-20240420-113-325-L00000010882-CCD4_5,2,train
01-PAN-20240420-113-325-L00000011195-CCD1_4,1,train
01-PAN-20240421-105-323-L00000010830-CCD21_4,1,train
01-PAN-20240421-423-694-L00000010874-CCD21_2,1,train
01-PAN-20240421-423-694-L00000010874-CCD21_3,2,train
01-PAN-20240421-423-694-L00000010874-CCD22_2,2,train
01-PAN-20240422-253-245-L00000010552-CCD5_1,1,train
01-PAN-20240422-253-245-L00000010552-CCD5_2,3,train
01-PAN-20240422-253-245-L00000010552-CCD5_3,2,train
01-PAN-20240422-253-245-L00000010552-CCD5_6,1,train
01-PAN-20240423-029-368-L00000011028-CCD29_4,2,train
01-PAN-20240423-439-569-L00000011168-CCD16_5,1,train
01-PAN-20240423-439-569-L00000011327-CCD15_5,1,train
01-PAN-20240423-439-569-L00000011327-CCD16_5,2,train
01-PAN-20240424-146-259-L00000010574-CCD32_7,3,train
01-PAN-20240424-146-259-L00000010814-CCD11_5,1,train
01-PAN-20240424-146-260-L00000010815-CCD32_3,3,train
01-PAN-20240429-304-323-L00000011120-CCD20_2,1,train
01-PAN-20240429-304-323-L00000011120-CCD20_4,1,train
01-PAN-20240429-304-323-L00000011120-CCD21_3,1,train
01-PAN-20240430-104-336-L00000011523-CCD22_6,1,train
01-PAN-20240430-104-336-L00000011523-CCD23_4,1,train
01-PAN-20240430-104-343-L00000011530-CCD26_4,1,train
01-PAN-20240430-104-348-L00000011535-CCD29_3,1,train
01-PAN-20240430-104-349-L00000011536-CCD22_4,1,train
01-PAN-20240430-227-632-L00000011561-CCD30_5,1,train
01-PAN-20240430-227-632-L00000011561-CCD30_6,1,train
01-PAN-20240430-297-348-L00000011339-CCD16_6,1,train
01-PAN-20240506-094-666-L00000011756-CCD4_1,2,train
01-PAN-20240506-094-666-L00000011756-CCD4_3,1,train
01-PAN-20240506-094-666-L00000011756-CCD8_2,3,train
01-PAN-20240506-094-666-L00000011756-CCD8_3,1,train
01-PAN-20240506-094-666-L00000011756-CCD8_5,1,train
01-PAN-20240506-094-666-L00000011756-CCD9_1,2,train
01-PAN-20240506-094-666-L00000011756-CCD9_2,2,train
01-PAN-20240506-094-666-L00000012249-CCD10_6,2,train
01-PAN-20240506-094-666-L00000012249-CCD11_6,8,train
01-PAN-20240506-124-321-L00000011847-CCD28_4,1,train
01-PAN-20240506-124-321-L00000011847-CCD28_5,5,train
01-PAN-20240506-124-321-L00000011847-CCD29_4,1,train
01-PAN-20240506-124-321-L00000011847-CCD29_5,1,train
01-PAN-20240510-097-233-L00000012258-CCD1_2,1,train
01-PAN-20240510-097-233-L00000012258-CCD2_2,1,train
01-PAN-20240511-122-548-L00000012428-CCD26_5,2,train
01-PAN-20240511-122-548-L00000012428-CCD27_5,1,train
01-PAN-20240511-122-548-L00000012428-CCD27_6,1,train
01-PAN-20240511-122-548-L00000012428-CCD28_5,1,train
01-PAN-20240511-152-202-L00000012357-CCD23_5,2,train
01-PAN-20240513-108-689-L00000012464-CCD29_5,1,train
01-PAN-20240513-108-689-L00000012464-CCD29_6,2,train
01-PAN-20240513-108-690-L00000012465-CCD28_2,3,train
01-PAN-20240513-108-690-L00000012465-CCD28_3,2,train
01-PAN-20240513-108-690-L00000012465-CCD29_1,3,train
01-PAN-20240513-108-690-L00000012465-CCD29_3,2,train
01-PAN-20240513-108-690-L00000012465-CCD32_5,1,train
01-PAN-20240513-108-691-L00000012466-CCD27_5,2,train
01-PAN-20240513-139-166-L00000012468-CCD22_2,1,train
01-PAN-20240513-456-301-L00000012440-CCD1_4,4,train
01-PAN-20240513-456-301-L00000012440-CCD1_5,11,train
01-PAN-20240513-456-301-L00000012440-CCD1_6,2,train
01-PAN-20240513-456-301-L00000012440-CCD2_4,1,train
01-PAN-20240513-456-301-L00000012440-CCD2_6,4,train
01-PAN-20240513-456-302-L00000012441-CCD1_1,2,train
01-PAN-20240513-456-302-L00000012441-CCD1_2,3,train
01-PAN-20240513-456-304-L00000012443-CCD11_4,10,train
01-PAN-20240513-456-304-L00000012443-CCD11_6,1,train
01-PAN-20240513-456-304-L00000012443-CCD12_4,3,train
01-PAN-20240513-456-304-L00000012443-CCD14_3,1,train
01-PAN-20240513-456-304-L00000012443-CCD15_3,8,train
01-PAN-20240513-456-304-L00000012443-CCD15_6,2,train
01-PAN-20240513-456-304-L00000012443-CCD16_1,2,train
01-PAN-20240513-456-304-L00000012443-CCD16_2,4,train
01-PAN-20240513-456-304-L00000012443-CCD16_3,1,train
01-PAN-20240513-456-304-L00000012443-CCD16_6,2,train
01-PAN-20240513-456-304-L00000012443-CCD17_2,1,train
01-PAN-20240513-456-304-L00000012443-CCD4_2,1,train
01-PAN-20240513-456-304-L00000012443-CCD5_1,1,train
01-PAN-20240513-456-304-L00000012443-CCD5_2,5,train
01-PAN-20240513-456-304-L00000012443-CCD5_4,3,train
01-PAN-20240513-456-304-L00000012443-CCD6_1,2,train
01-PAN-20240513-456-304-L00000012443-CCD6_2,11,train
01-PAN-20240513-456-304-L00000012443-CCD6_3,7,train
01-PAN-20240513-456-304-L00000012443-CCD6_4,2,train
01-PAN-20240513-456-304-L00000012443-CCD6_5,1,train
01-PAN-20240513-456-304-L00000012443-CCD7_3,10,train
01-PAN-20240513-456-304-L00000012443-CCD7_4,1,train
01-PAN-20240513-456-305-L00000012444-CCD15_1,1,train
01-PAN-20240513-456-305-L00000012444-CCD15_3,1,train
01-PAN-20240513-456-305-L00000012444-CCD15_4,5,train
01-PAN-20240513-456-305-L00000012444-CCD16_1,2,train
01-PAN-20240513-456-305-L00000012444-CCD16_2,1,train
01-PAN-20240513-456-305-L00000012444-CCD16_3,1,train
01-PAN-20240513-456-305-L00000012444-CCD16_4,1,train
01-PAN-20240513-456-305-L00000012444-CCD18_1,1,train
01-PAN-20240513-456-305-L00000012444-CCD18_3,2,train
01-PAN-20240513-456-306-L00000012445-CCD25_2,1,train
01-PAN-20240513-456-306-L00000012445-CCD26_1,1,train
01-PAN-20240513-456-307-L00000012446-CCD26_4,3,train
01-PAN-20240513-456-307-L00000012446-CCD26_5,7,train
01-PAN-20240513-456-307-L00000012446-CCD27_4,2,train
01-PAN-20240513-456-307-L00000012446-CCD27_5,3,train
01-PAN-20240513-456-307-L00000012446-CCD27_6,1,train
01-PAN-20240513-456-307-L00000012446-CCD30_2,1,train
01-PAN-20240513-456-307-L00000012446-CCD30_3,4,train
01-PAN-20240513-456-307-L00000012446-CCD31_1,1,train
01-PAN-20240513-456-307-L00000012446-CCD31_2,4,train
01-PAN-20240513-456-307-L00000012446-CCD31_3,7,train
01-PAN-20240513-456-307-L00000012446-CCD32_2,8,train
01-PAN-20240513-456-307-L00000012446-CCD32_3,2,train
01-PAN-20240514-225-443-L00000012695-CCD25_3,7,train
01-PAN-20240514-294-364-L00000012484-CCD11_6,1,train
01-PAN-20240514-294-365-L00000012485-CCD11_3,1,train
01-PAN-20240514-294-365-L00000012485-CCD12_2,1,train
01-PAN-20240514-294-365-L00000012485-CCD12_3,2,train
01-PAN-20240514-294-365-L00000012485-CCD13_3,1,train
01-PAN-20240514-449-302-L00000012639-CCD30_5,1,train
01-PAN-20240514-449-302-L00000012639-CCD31_5,2,train
01-PAN-20240514-449-307-L00000012644-CCD3_6,1,train
01-PAN-20240514-449-308-L00000012645-CCD10_1,1,train
01-PAN-20240514-449-308-L00000012645-CCD11_4,1,train
01-PAN-20240514-449-308-L00000012645-CCD12_5,2,train
01-PAN-20240514-449-308-L00000012645-CCD13_3,1,train
01-PAN-20240514-449-308-L00000012645-CCD13_6,2,train
01-PAN-20240514-449-308-L00000012645-CCD14_1,2,train
01-PAN-20240514-449-308-L00000012645-CCD14_2,5,train
01-PAN-20240514-449-308-L00000012645-CCD15_1,3,train
01-PAN-20240514-449-308-L00000012645-CCD15_2,1,train
01-PAN-20240514-449-308-L00000012645-CCD15_3,1,train
01-PAN-20240514-449-308-L00000012645-CCD16_1,2,train
01-PAN-20240514-449-308-L00000012645-CCD16_2,2,train
01-PAN-20240514-449-308-L00000012645-CCD17_3,1,train
01-PAN-20240514-449-308-L00000012645-CCD20_3,1,train
01-PAN-20240514-449-308-L00000012645-CCD20_4,1,train
01-PAN-20240514-449-308-L00000012645-CCD20_6,1,train
01-PAN-20240514-449-308-L00000012645-CCD3_1,1,train
01-PAN-20240514-449-309-L00000012646-CCD13_1,2,train
01-PAN-20240514-449-309-L00000012646-CCD13_2,2,train
01-PAN-20240514-449-309-L00000012646-CCD31_6,1,train
01-PAN-20240514-449-311-L00000012648-CCD21_2,1,train
01-PAN-20240514-449-311-L00000012648-CCD22_2,3,train
01-PAN-20240514-449-311-L00000012648-CCD22_3,2,train
01-PAN-20240514-449-311-L00000012648-CCD23_3,1,train
