source_rank,file_name,image_path,fp,fn,errors,fp_classes,fn_classes,review_status,issue_type,proposed_action,reviewer,review_date,review_notes
1,MAR20_1128.jpg,shiyan/data/images/train/MAR20_1128.jpg,6,5,11,"A13_F-15,A13_F-15,A13_F-15,A13_F-15,A13_F-15,A13_F-15","A5_F-16,A5_F-16,A5_F-16,A5_F-16,A5_F-16",pending,,,,,
2,MAR20_1074.jpg,shiyan/data/images/train/MAR20_1074.jpg,9,0,9,"A4_C-5,A4_C-5,A13_F-15,A4_C-5,A13_F-15,A13_F-15,A13_F-15,A4_C-5,A13_F-15",,pending,,,,,
3,MAR20_1735.jpg,shiyan/data/images/train/MAR20_1735.jpg,9,0,9,"A2_C-130,A2_C-130,A2_C-130,A2_C-130,A2_C-130,A13_F-15,A2_C-130,A2_C-130,A2_C-130",,pending,,,,,
4,fsc_TG-N22.33-E120.62-lv20-Google_crop0001.jpg,shiyan/data/images/train/fsc_TG-N22.33-E120.62-lv20-Google_crop0001.jpg,8,1,9,"FSC,FSC,FSC,FSC,FSC,FSC,FSC,FSC",FSC,pending,,,,,
5,fsc_AGZ-N35.89-E126.62-lv20-Google_crop0002.jpg,shiyan/data/images/train/fsc_AGZ-N35.89-E126.62-lv20-Google_crop0002.jpg,8,0,8,"FSC,FSC,FSC,FSC,FSC,FSC,FSC,FSC",,pending,,,,,
6,fsc_HMS-N26.20-E127.66-lv20-google_crop0001.jpg,shiyan/data/images/train/fsc_HMS-N26.20-E127.66-lv20-google_crop0001.jpg,4,4,8,"FSC,FSC,FSC,FSC","FSC,FSC,FSC,FSC",pending,,,,,
7,fsc_AGZ-N35.84-E139.41-lv20-Bing_crop0001.jpg,shiyan/data/images/train/fsc_AGZ-N35.84-E139.41-lv20-Bing_crop0001.jpg,4,3,7,"FSC,FSC,FSC,FSC","FSC,FSC,FSC",pending,,,,,
8,fsc_TG-N22.33-E120.62-lv20-Google_crop0002.jpg,shiyan/data/images/train/fsc_TG-N22.33-E120.62-lv20-Google_crop0002.jpg,2,4,6,"FSC,FSC","FSC,FSC,FSC,FSC",pending,,,,,
9,MAR20_3293.jpg,shiyan/data/images/train/MAR20_3293.jpg,0,6,6,,"A1_SU-35,A1_SU-35,A1_SU-35,A1_SU-35,A1_SU-35,A1_SU-35",pending,,,,,
10,fsc_AGZ-N35.89-E126.62-lv20-Google_crop0001.jpg,shiyan/data/images/train/fsc_AGZ-N35.89-E126.62-lv20-Google_crop0001.jpg,5,0,5,"FSC,FSC,FSC,FSC,FSC",,pending,,,,,
