class_id,expected_name,yaml_name,group,status
0,HM,HM,ship,ok
1,LQS,LQS,ship,ok
2,QHS,QHS,ship,ok
3,MS,MS,ship,ok
4,A1_SU-35,A1_SU-35,aircraft,ok
5,A2_C-130,A2_C-130,aircraft,ok
6,A3_C-17,A3_C-17,aircraft,ok
7,A4_C-5,A4_C-5,aircraft,ok
8,A5_F-16,A5_F-16,aircraft,ok
9,A6_TU-160,A6_TU-160,aircraft,ok
10,A7_E-3,A7_E-3,aircraft,ok
11,A8_B-52,A8_B-52,aircraft,ok
12,A9_P-3C,A9_P-3C,aircraft,ok
13,A10_B-1B,A10_B-1B,aircraft,ok
14,A11_E-8,A11_E-8,aircraft,ok
15,A12_TU-22,A12_TU-22,aircraft,ok
16,A13_F-15,A13_F-15,aircraft,ok
17,A14_KC-135,A14_KC-135,aircraft,ok
18,A15_F-22,A15_F-22,aircraft,ok
19,A16_FA-18,A16_FA-18,aircraft,ok
20,A17_TU-95,A17_TU-95,aircraft,ok
21,A18_KC-10,A18_KC-10,aircraft,ok
22,A19_SU-34,A19_SU-34,aircraft,ok
23,A20_SU-24,A20_SU-24,aircraft,ok
24,FSC,FSC,vehicle,ok
