class_id,class_name,group,train_objects,val_objects,total_objects,val_ratio
0,HM,ship,17,0,17,0.0
1,LQS,ship,29,0,29,0.0
2,QHS,ship,637,0,637,0.0
3,MS,ship,2077,0,2077,0.0
4,A1_SU-35,aircraft,1317,0,1317,0.0
5,A2_C-130,aircraft,1297,0,1297,0.0
6,A3_C-17,aircraft,998,0,998,0.0
7,A4_C-5,aircraft,500,0,500,0.0
8,A5_F-16,aircraft,1017,0,1017,0.0
9,A6_TU-160,aircraft,361,0,361,0.0
10,A7_E-3,aircraft,547,0,547,0.0
11,A8_B-52,aircraft,750,0,750,0.0
12,A9_P-3C,aircraft,895,0,895,0.0
13,A10_B-1B,aircraft,762,0,762,0.0
14,A11_E-8,aircraft,432,0,432,0.0
15,A12_TU-22,aircraft,583,0,583,0.0
16,A13_F-15,aircraft,1265,0,1265,0.0
17,A14_KC-135,aircraft,1424,0,1424,0.0
18,A15_F-22,aircraft,493,0,493,0.0
19,A16_FA-18,aircraft,2147,0,2147,0.0
20,A17_TU-95,aircraft,1114,0,1114,0.0
21,A18_KC-10,aircraft,262,0,262,0.0
22,A19_SU-34,aircraft,933,0,933,0.0
23,A20_SU-24,aircraft,752,0,752,0.0
24,FSC,vehicle,399,0,399,0.0
