severity,issue_type,split,path,line_no,class_id,value,message
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0006.txt,1,2,-0.00486000 0.00486050 0.17983000 0.12879750,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0012.txt,5,3,0.32432450 -0.00112600 0.42004550 0.15991000,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0145.txt,1,3,-0.00368050 0.15705550 0.14355850 0.31411050,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0222.txt,4,3,0.79502400 0.50947900 1.00000000 1.00118500,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0338.txt,5,3,0.92628950 0.25307100 1.00122850 0.34643700,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0416.txt,3,3,0.20993750 -0.00496850 0.50931650 0.16024850,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0434.txt,6,3,-0.00113800 0.36177500 0.07736000 0.44709900,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0436.txt,2,3,-0.00444400 0.53222250 0.20555600 0.85555550,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0447.txt,2,3,-0.00234150 0.87002400 0.07728350 0.94613600,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0447.txt,6,3,0.91451950 0.06557400 1.00351250 0.15339600,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0449.txt,3,3,0.63628200 0.91867800 0.76050000 1.00089400,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0507.txt,3,3,-0.00120900 0.37968600 0.05199500 0.43651800,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0512.txt,3,3,0.86635450 0.53692800 1.00468950 0.66940200,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0553.txt,1,3,0.00000050 -0.00235850 0.09198150 0.10849050,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0568.txt,1,3,0.73341250 -0.00710850 0.99881550 0.04857850,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,empty_label_file,train,shiyan/data3/labels/train/0581.txt,,,,label file has no objects
warn,empty_label_file,train,shiyan/data3/labels/train/0582.txt,,,,label file has no objects
warn,empty_label_file,train,shiyan/data3/labels/train/0583.txt,,,,label file has no objects
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0592.txt,1,3,-0.00226950 0.60045400 0.07945550 0.71623200,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0630.txt,6,3,0.83391450 0.79094100 1.00116150 0.88153300,box edges exceed normalized image bounds after xywh to xyxy conversion
warn,box_extends_outside_image,train,shiyan/data3/labels/train/0665.txt,4,3,0.07966750 -0.00118850 0.23781250 0.08323450,box edges exceed normalized image bounds after xywh to xyxy conversion
