split,path,stem,size_bytes,sha256,line_count,object_count,status
train,shiyan/data/labels/train/classes.txt,classes,221,02e12dc1dfbf4c127aad14a8f80931bb3a15b320e87954deb143d60abae6fc52,,,ignored_auxiliary_file
train,shiyan/data/labels/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.txt,01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1,76,69c8bc26f67a169871196f7931e7a4d93854e170c6f47e0d30c437496acdac06,2,2,ok
train,shiyan/data/labels/train/01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.txt,01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1,37,ceb94f89e130eda95d1299246b9837ff52c955b021488d13de8e6c4d8b10d692,1,1,ok
train,shiyan/data/labels/train/01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.txt,01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1,76,84a91580ff71dba37dc78eb3b1bc7485b96a6d4c6d30b2bf67a9b4b251746eb7,2,2,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1,76,f05e99d2b85d64210bcb98935c5b54d31314649088d7fb3f4f20fbbe9c34eb2c,2,2,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4,76,948ce828a193eb19a6c9d09b6e9678193c279113fdb4c744dcbe1dbbbdfebc3c,2,2,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5,154,01037bca24c1170f9e7ed8546748b54cc8022dc68ad8b7a2c97a81bb9c48e3ab,4,4,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6,154,b2ab5f5a8bd1d88bfec7c300d97ddf096032b83881b54e795c234f02eddff24f,4,4,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7,427,f9b7a2e9a0e0b42b9e2bc3d000eb4b84668d97e66f2da0a5ad1eae962e4a2c59,11,11,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8,193,7a068dfbe3e6ec28af6ad606047f707a9c7718f4a9f482af5c72776eee1ecbd6,5,5,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9,193,077a889cef13200e4894453e8207e37582156b04995d5ce0a1835b9df432046b,5,5,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop1.txt,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop1,154,7ced29fcddb79efedb33e0400f80ace8ed502a6b8fe163964876c4f7a185c6d9,4,4,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop2.txt,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop2,193,3d6cfd209a2ceea96c2f2775f29d6f5434574052e9ea84c992fbfb442a1d72d4,5,5,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop3.txt,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop3,115,229aea4b4b7be17b2cd50be31b34ba4d98dd3ca59f57049eaa9f04994d85b533,3,3,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop4.txt,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop4,37,4f6e0f4e55b9cc30243d2a2bbdfcacc9c3108c760475164956c72179724b2f9b,1,1,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.txt,01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1,154,b3ef725945ca0abc59a8c9fa1965e8d1f5fb1a27920dedb07295956ff0440635,4,4,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD4_5_crop2.txt,01-PAN-20240420-113-325-L00000010882-CCD4_5_crop2,115,bd748155976efb8cdd4a68e706ee7fde8c623b0814cdc85f3e541cd07aa19b6b,3,3,ok
train,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000011195-CCD1_4_crop1.txt,01-PAN-20240420-113-325-L00000011195-CCD1_4_crop1,37,088b8337d9993455bd183183508aded8e4c6174da9ee62eb4efc2adb6b77527c,1,1,ok
train,shiyan/data/labels/train/01-PAN-20240421-105-323-L00000010830-CCD21_4_crop1.txt,01-PAN-20240421-105-323-L00000010830-CCD21_4_crop1,37,975c65e520293c39c076d33410f03bc8c3d476536b731e87c67b94a0d735883a,1,1,ok
train,shiyan/data/labels/train/01-PAN-20240421-423-694-L00000010874-CCD21_2_crop1.txt,01-PAN-20240421-423-694-L00000010874-CCD21_2_crop1,76,dfb666198f8ed3b429639db7993e10e132a85e068158c9ec9bca531f64e471f1,2,2,ok
train,shiyan/data/labels/train/01-PAN-20240421-423-694-L00000010874-CCD21_3_crop1.txt,01-PAN-20240421-423-694-L00000010874-CCD21_3_crop1,76,77d61cab53d7713c96f960f33d6885d139a5a8c9e3c2653ce823fb00e443328f,2,2,ok
train,shiyan/data/labels/train/01-PAN-20240421-423-694-L00000010874-CCD21_3_crop2.txt,01-PAN-20240421-423-694-L00000010874-CCD21_3_crop2,76,cbefb0fcb9bbba2ef0bd4285c1c059efd99da4c1629b7c0c3ff93d8acd83333a,2,2,ok
train,shiyan/data/labels/train/01-PAN-20240421-423-694-L00000010874-CCD22_2_crop1.txt,01-PAN-20240421-423-694-L00000010874-CCD22_2_crop1,37,a5acfe5a5f631d0d1ac59d1ac256e8834c120adbb7de74e220b7bada5bb3ebb1,1,1,ok
train,shiyan/data/labels/train/01-PAN-20240421-423-694-L00000010874-CCD22_2_crop2.txt,01-PAN-20240421-423-694-L00000010874-CCD22_2_crop2,37,adf0749061c7df9e64054a143264ec1d790976d49e43af31e1ce97b07fc77642,1,1,ok
train,shiyan/data/labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_1_crop1.txt,01-PAN-20240422-253-245-L00000010552-CCD5_1_crop1,76,3f8f25813ec7a9b172bc4ab040157a2ddfcb82317b5952daa932f1713dac89bb,2,2,ok
train,shiyan/data/labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop1.txt,01-PAN-20240422-253-245-L00000010552-CCD5_2_crop1,37,a04f2c3f71c3f99268fa40d42fb6ecd19111e7ef8ac43285280d56090ab8fa32,1,1,ok
train,shiyan/data/labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop2.txt,01-PAN-20240422-253-245-L00000010552-CCD5_2_crop2,37,c0c564a85cc0c5cd71759e6e688ae61d970157abc960dad245d538682462ce7f,1,1,ok
train,shiyan/data/labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop3.txt,01-PAN-20240422-253-245-L00000010552-CCD5_2_crop3,37,6243ff095f8770a95e53c8cf5bbe10b24d5db0dc7f658658660969c1414cfeef,1,1,ok
train,shiyan/data/labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_3_crop1.txt,01-PAN-20240422-253-245-L00000010552-CCD5_3_crop1,76,5693b0596aee1844f1e12ea3c614b7c255b2679e165670ba1e562a811f873ab1,2,2,ok
train,shiyan/data/labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_3_crop2.txt,01-PAN-20240422-253-245-L00000010552-CCD5_3_crop2,37,732b0c62b16fdbc7a8bcf11c20f02642e343aa8b1b68a7ae088d313f96904d76,1,1,ok
