split,path,stem,scene_id,extension,width,height,mode,size_bytes,sha256,has_label,status,long_side_bucket
train,shiyan/data3/images/train/0001.jpg,0001,0001,.jpg,861,861,RGB,147952,100ea258672f78ff57e955f9ff827d68ef647bab384f7a828c9a8ae1e07ab88b,True,ok,641-1024
train,shiyan/data3/images/train/0002.jpg,0002,0002,.jpg,846,846,RGB,168774,93da99396579ba1de35e0599723511d9d139a09de16ccc02546f75f4c3e359f3,True,ok,641-1024
train,shiyan/data3/images/train/0003.jpg,0003,0003,.jpg,800,800,RGB,71702,0172ac540b8c7dcb40f361ef9c16a543feed2a5ea05f6a71088b521f12eefdb8,True,ok,641-1024
train,shiyan/data3/images/train/0004.jpg,0004,0004,.jpg,875,875,RGB,241609,95a7b4d5c842e77a919dc46555d84a25c33f7985e19ec3bd00635b09027f8088,True,ok,641-1024
train,shiyan/data3/images/train/0005.jpg,0005,0005,.jpg,823,823,RGB,269334,7c7f4a18cc3cd10a30ff0d270cd5d3d73e0066e2181b3c99c529f15d26ee76a3,True,ok,641-1024
train,shiyan/data3/images/train/0006.jpg,0006,0006,.jpg,823,823,RGB,179194,dc208e6cf73fa4c7c406bc3a561fde8df81154d90d339b0e156d99602727c7c6,True,ok,641-1024
train,shiyan/data3/images/train/0007.jpg,0007,0007,.jpg,843,843,RGB,286010,bfda81919ffc07a3fadb41404d6b37eac73b14648a2f0a03668ec24849a7c7de,True,ok,641-1024
train,shiyan/data3/images/train/0008.jpg,0008,0008,.jpg,828,828,RGB,214763,10436a1a689ed25c3c1c091a0a75ca3407657aa7c79d5a7d262f4501fcecbf27,True,ok,641-1024
train,shiyan/data3/images/train/0009.jpg,0009,0009,.jpg,883,883,RGB,296393,6477723a576c02f79234ca59fb3c2398e2ea0918f006d743fe2f819fac48ab99,True,ok,641-1024
train,shiyan/data3/images/train/0010.jpg,0010,0010,.jpg,884,884,RGB,239820,f9ad2c56dcb80e7212e227c58a7b80a21830ed5a35d4206169ef7ca8789e5faf,True,ok,641-1024
train,shiyan/data3/images/train/0011.jpg,0011,0011,.jpg,878,878,RGB,258448,49d488d57c35ccd59101de5256cfa482c07ee36d7a0e0f9fa87fbb5561230ee4,True,ok,641-1024
train,shiyan/data3/images/train/0012.jpg,0012,0012,.jpg,888,888,RGB,266408,882118fda8e104be142b8a054f129b7f0e95e34c19796ae3883e7ae260e6501a,True,ok,641-1024
train,shiyan/data3/images/train/0013.jpg,0013,0013,.jpg,842,842,RGB,254458,4889f570ca3a2614762b6fd020c6f10ca20f13adb510ad49354a6a8e7def88d8,True,ok,641-1024
train,shiyan/data3/images/train/0014.jpg,0014,0014,.jpg,804,804,RGB,237447,20acaa63a51c6875e0bbae588fafc232c0acc3c17ea16923cedad112fb76e769,True,ok,641-1024
train,shiyan/data3/images/train/0015.jpg,0015,0015,.jpg,818,818,RGB,218492,5402f30d9d14cd717a369b8583469ee2839d39015665e1f695c4bd3d225653d6,True,ok,641-1024
train,shiyan/data3/images/train/0016.jpg,0016,0016,.jpg,881,881,RGB,318861,3c53a19b676557f61cae1a04bfee945d35822ac8eccb382c25183c70fbd7365a,True,ok,641-1024
train,shiyan/data3/images/train/0017.jpg,0017,0017,.jpg,827,827,RGB,240050,b4f4b712c89f5ee98db2437814ab250e4616faf4f6c94d18168be206c9a4c320,True,ok,641-1024
train,shiyan/data3/images/train/0018.jpg,0018,0018,.jpg,829,829,RGB,197957,1cba4e408dfa07475796c6f6871147893af16ca862a579f3577d62a13c75f68f,True,ok,641-1024
train,shiyan/data3/images/train/0019.jpg,0019,0019,.jpg,812,812,RGB,209302,c5e774521f1d270dab54be0d7a86642daf62e8d0cf27531c59e481b2d282670b,True,ok,641-1024
train,shiyan/data3/images/train/0020.jpg,0020,0020,.jpg,808,808,RGB,96438,0a1d37b91b326295ea13ecc7f2f2b8cc64aa51de481ea42cb5ca3a38654e73ef,True,ok,641-1024
train,shiyan/data3/images/train/0021.jpg,0021,0021,.jpg,837,837,RGB,142534,0a034202d53b4df5cb322eba4ded89c92801fd4e7fa538addff8dbaba98cee79,True,ok,641-1024
train,shiyan/data3/images/train/0022.jpg,0022,0022,.jpg,867,867,RGB,88297,8e707d38160dbf52d05a02c1248694e9aea458e88ffeb3d8a1c1a1c14eb633c2,True,ok,641-1024
train,shiyan/data3/images/train/0023.jpg,0023,0023,.jpg,812,812,RGB,105422,051edce4e32b747c4f9eba85a4af773185a9ce4b284587a4b6440b6782c84f7f,True,ok,641-1024
train,shiyan/data3/images/train/0024.jpg,0024,0024,.jpg,811,811,RGB,144506,c4412264f6d293faaea48a93dee63dcf0d1825f63e0157d56ec9ea0b25fb468e,True,ok,641-1024
train,shiyan/data3/images/train/0025.jpg,0025,0025,.jpg,851,851,RGB,161558,b2e73a4acf7fadbb2a9fdc0b79ca186ab506633f86da072678ef1fead177339d,True,ok,641-1024
train,shiyan/data3/images/train/0026.jpg,0026,0026,.jpg,810,810,RGB,125242,ace8c843451c96a6c97c01fde46c68fb15249aa5ebf42d7cd8505d6dc3f906fe,True,ok,641-1024
train,shiyan/data3/images/train/0027.jpg,0027,0027,.jpg,807,807,RGB,162751,15355b10eb82bc6dfea2e7d402940db4a96f9a6f70d639ad8654cc6e3890f794,True,ok,641-1024
