split,path,stem,size_bytes,sha256,line_count,object_count,status
train,shiyan/data3/labels/train/classes.txt,classes,198,f0b30b4248a9aa7e3f654cd1849cd5536fff8373f6fddf6452556a3f7bbf0e84,,,ignored_auxiliary_file
train,shiyan/data3/labels/train/0001.txt,0001,76,f15c248c961045ec9a75f5901ac007191cae28d63234a6de9496b90fc85aba87,2,2,ok
train,shiyan/data3/labels/train/0002.txt,0002,38,e1ee984843ab5099d8219186634e2ca72b5edafd7d261f1b9419531f2898526e,1,1,ok
train,shiyan/data3/labels/train/0003.txt,0003,152,ebcf7be9dba2fab33507e7fc80c12dff615dc18af163966c39ba18bddfdd87f7,4,4,ok
train,shiyan/data3/labels/train/0004.txt,0004,76,684b63ab515694299a992eee900235f605a1aaedfbc5960127391994d41b4500,2,2,ok
train,shiyan/data3/labels/train/0005.txt,0005,76,77ae1c33e6ea3a35b7ce565ed434d83462bd51262ef433b1cb5b1ec24a1ee1ef,2,2,ok
train,shiyan/data3/labels/train/0006.txt,0006,152,f344b221f45fab4283b7d4abaf1489064eea6d5b74defb1a126c04015dca3688,4,3,ok
train,shiyan/data3/labels/train/0007.txt,0007,76,cbf20ed8fea2e280f32c4f56bdb0ab3419d906518ba14efdfa8afa837e87034d,2,2,ok
train,shiyan/data3/labels/train/0008.txt,0008,418,1e318d711a1ea051f016573f6897a717cb14a85ca87d7f05f14e6fea6ce79061,11,11,ok
train,shiyan/data3/labels/train/0009.txt,0009,190,e05a8133d2f5a5bf0caf918fd5b64c3d40c3ac064767d83890cfb9cd82e615c7,5,5,ok
train,shiyan/data3/labels/train/0010.txt,0010,152,ec2aa5d58bf548be4200eb77db4867ed31c0a9f04d32286af8cc5cd76fd00554,4,4,ok
train,shiyan/data3/labels/train/0011.txt,0011,114,ea6998fa8ecac522a87ffabec627533844763da46483eaad2016cae125080fcd,3,3,ok
train,shiyan/data3/labels/train/0012.txt,0012,190,5007a1cfe4db7114f6a17c46c220374f502cdd37a12eecf7aa52bc73629d95b4,5,4,ok
train,shiyan/data3/labels/train/0013.txt,0013,76,4cf52cd1ef219d047219ff06d15fb6e052f5df76f0454d1f948b63ee3901626e,2,2,ok
train,shiyan/data3/labels/train/0014.txt,0014,38,8ec7b377439514634ad18642d2fd1161ad4d52001373f012184a250e9d6cd086,1,1,ok
train,shiyan/data3/labels/train/0015.txt,0015,152,ea5c17969686c941bcd3af6ca79685df8a33913497f4a4571c28242b25141536,4,4,ok
train,shiyan/data3/labels/train/0016.txt,0016,76,04107f45cea8c5dfc8e348cefa87e758bf655589f3f307d92f3972f0b800e12c,2,2,ok
train,shiyan/data3/labels/train/0017.txt,0017,38,d9afdb75685b55133242494fb08102c8edab830560a463e31475b523ed09c76e,1,1,ok
train,shiyan/data3/labels/train/0018.txt,0018,38,b42f7bd9d7605b01b3886bca0e5996660560f88f6e43cb401935326e79ba15a2,1,1,ok
train,shiyan/data3/labels/train/0019.txt,0019,76,c8d4120cd3f6960c5c6b6fc183025b9e8054b2609a3895192b6a5f57f8b6f48a,2,2,ok
train,shiyan/data3/labels/train/0020.txt,0020,76,b6b54b46aad341c455195876d0a8ac7f547a4b9f0a0e1cc179fbfbe7160c3172,2,2,ok
train,shiyan/data3/labels/train/0021.txt,0021,76,f8153704756413680843c3ffa27ce661ed2755ae6176dd0994e01e986d21f6cc,2,2,ok
train,shiyan/data3/labels/train/0022.txt,0022,38,b574d0c99395656e9a4bd0774cfe5bfe4c670745308d8012a186f5f7b43f58cb,1,1,ok
train,shiyan/data3/labels/train/0023.txt,0023,38,0df20d96fb98e9fdb0969e75de1c284d1cdfc504571ef9b67daeb5c285d192e2,1,1,ok
train,shiyan/data3/labels/train/0024.txt,0024,76,fcc4c116daaa37e7a44b641f75b817d8d7cc0a53aac8e150a411bace20b53e07,2,2,ok
train,shiyan/data3/labels/train/0025.txt,0025,38,98f33be303093d0235eb3b5425eba8565037b148f9854e34b4f8cd4f37f441d3,1,1,ok
train,shiyan/data3/labels/train/0026.txt,0026,38,d944d3c9de1dfdccce8b93e907f58519730f732883f80ef950cb85570ffea6a9,1,1,ok
train,shiyan/data3/labels/train/0027.txt,0027,38,52a8d1310370a945d58d132423e1b5914545b1e5a7c1520a39c6d9ea5a7819d3,1,1,ok
train,shiyan/data3/labels/train/0028.txt,0028,76,adca23157bd2e4ca10a90a396ec96facb59555b18e9c122b73bc20041ebb40e4,2,2,ok
train,shiyan/data3/labels/train/0029.txt,0029,38,4e4a02dff92361cbb68c6569c096a75e484a3caa08c97a51fbb1ba69aa10c791,1,1,ok
train,shiyan/data3/labels/train/0030.txt,0030,38,d21aa4d0d8304650ad1b13aff42b6c879ab7928deb979567732f0f7154777f65,1,1,ok
train,shiyan/data3/labels/train/0031.txt,0031,646,e25672f93c6fe3987ea30082315ce4ec73204b4f4e82fdc55d926f40b8d581c3,17,17,ok
train,shiyan/data3/labels/train/0032.txt,0032,114,b777f74c835f06b48c75a5fd4cf737bb974d57092d3cde9e50c46d4f82a6bdd5,3,3,ok
train,shiyan/data3/labels/train/0033.txt,0033,38,0256c4b6863bdf80ce594c01df9aecbc0e19711ed573b7dfbe4080fa6e4b83e4,1,1,ok
train,shiyan/data3/labels/train/0034.txt,0034,38,bba32a3c66e7c8ec14fbddf027d0bfaf553e934e9a8280645b5ed9914fa68d35,1,1,ok
train,shiyan/data3/labels/train/0035.txt,0035,38,d2917f1b6ddb5d4c0e5790c9ac4669d42542be5eb6b15df32f474464be5f39c2,1,1,ok
train,shiyan/data3/labels/train/0036.txt,0036,38,29156b70bfd5604a2ad9d8614ea7990114c3b48114ed5c8a5345ca7f0e7cd731,1,1,ok
train,shiyan/data3/labels/train/0037.txt,0037,76,4c644a812236905918b7edc61aad00db1d8becc6ceaa893eddab0a7ff5c4f33c,2,2,ok
train,shiyan/data3/labels/train/0038.txt,0038,76,68919730eece7f70fccf78f37a27cd50716bd38f04eb56fb9bc4011bb5b448fb,2,2,ok
train,shiyan/data3/labels/train/0039.txt,0039,76,dd0fce63cdb8da422a648a5b6fe9eb9e3eea92f56bd0cef35021cde4f5348cce,2,2,ok
train,shiyan/data3/labels/train/0040.txt,0040,38,02ed72226f71599c5c56a49283a7072b6bb77460c4c410538dce555edad90fc8,1,1,ok
train,shiyan/data3/labels/train/0041.txt,0041,38,a857df9128a2fa5a1846f2bb19a780842eff001c1a04b2ade31dd4b07f4a6d78,1,1,ok
train,shiyan/data3/labels/train/0042.txt,0042,38,a27836638fde59fc5f45aaeeac6be8174da6ec896b0342d34d291961840d9a24,1,1,ok
train,shiyan/data3/labels/train/0043.txt,0043,76,48f4117bb9ef6b0db024f900d355132ce31bc4e5633f30e99b70cf916440feda,2,2,ok
