class_id,class_name,group,train_objects,val_objects,total_objects,val_ratio
0,HM,ship,14,3,17,0.176471
1,LQS,ship,24,6,30,0.2
2,QHS,ship,499,142,641,0.221529
3,MS,ship,1619,375,1994,0.188064
4,A1_SU-35,aircraft,1022,295,1317,0.223994
5,A2_C-130,aircraft,1083,214,1297,0.164996
6,A3_C-17,aircraft,778,220,998,0.220441
7,A4_C-5,aircraft,399,101,500,0.202
8,A5_F-16,aircraft,852,165,1017,0.162242
9,A6_TU-160,aircraft,296,65,361,0.180055
10,A7_E-3,aircraft,418,129,547,0.235832
11,A8_B-52,aircraft,598,152,750,0.202667
12,A9_P-3C,aircraft,729,166,895,0.185475
13,A10_B-1B,aircraft,614,148,762,0.194226
14,A11_E-8,aircraft,335,97,432,0.224537
15,A12_TU-22,aircraft,477,106,583,0.181818
16,A13_F-15,aircraft,1008,257,1265,0.203162
17,A14_KC-135,aircraft,1156,268,1424,0.188202
18,A15_F-22,aircraft,379,114,493,0.231237
19,A16_FA-18,aircraft,1675,472,2147,0.219842
20,A17_TU-95,aircraft,884,230,1114,0.206463
21,A18_KC-10,aircraft,208,54,262,0.206107
22,A19_SU-34,aircraft,707,226,933,0.242229
23,A20_SU-24,aircraft,595,157,752,0.208777
24,FSC,vehicle,321,81,402,0.201493
