assigned_split,original_split,image_path,label_path,stem,scene_id,width,height,sha256
train,train,shiyan/data/images/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,shiyan/data/labels/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.txt,01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1,01-PAN-20240418-318-232-L00000010061-CCD14_3,861,861,100ea258672f78ff57e955f9ff827d68ef647bab384f7a828c9a8ae1e07ab88b
val,train,shiyan/data/images/train/01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.jpg,shiyan/data/labels/train/01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.txt,01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1,01-PAN-20240418-318-232-L00000010061-CCD18_5,846,846,93da99396579ba1de35e0599723511d9d139a09de16ccc02546f75f4c3e359f3
train,train,shiyan/data/images/train/01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.jpg,shiyan/data/labels/train/01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1.txt,01-PAN-20240420-082-358-L00000010818-CCD16_4_crop1,01-PAN-20240420-082-358-L00000010818-CCD16_4,800,800,0172ac540b8c7dcb40f361ef9c16a543feed2a5ea05f6a71088b521f12eefdb8
val,train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1,01-PAN-20240420-113-325-L00000010882-CCD3_5,875,875,95a7b4d5c842e77a919dc46555d84a25c33f7985e19ec3bd00635b09027f8088
val,train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4,01-PAN-20240420-113-325-L00000010882-CCD3_5,823,823,7c7f4a18cc3cd10a30ff0d270cd5d3d73e0066e2181b3c99c529f15d26ee76a3
val,train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5,01-PAN-20240420-113-325-L00000010882-CCD3_5,823,823,dc208e6cf73fa4c7c406bc3a561fde8df81154d90d339b0e156d99602727c7c6
val,train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6,01-PAN-20240420-113-325-L00000010882-CCD3_5,843,843,bfda81919ffc07a3fadb41404d6b37eac73b14648a2f0a03668ec24849a7c7de
val,train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7,01-PAN-20240420-113-325-L00000010882-CCD3_5,828,828,10436a1a689ed25c3c1c091a0a75ca3407657aa7c79d5a7d262f4501fcecbf27
val,train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8,01-PAN-20240420-113-325-L00000010882-CCD3_5,883,883,6477723a576c02f79234ca59fb3c2398e2ea0918f006d743fe2f819fac48ab99
val,train,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.jpg,shiyan/data/labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.txt,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9,01-PAN-20240420-113-325-L00000010882-CCD3_5,884,884,f9ad2c56dcb80e7212e227c58a7b80a21830ed5a35d4206169ef7ca8789e5faf
