scene_id,assigned_split,image_count,object_count,class_counts_json
01-PAN-20240418-318-232-L00000010061-CCD14_3,train,1,2,"{""2"": 2}"
01-PAN-20240418-318-232-L00000010061-CCD18_5,val,1,1,"{""3"": 1}"
01-PAN-20240420-082-358-L00000010818-CCD16_4,train,1,2,"{""3"": 2}"
01-PAN-20240420-113-325-L00000010882-CCD3_5,val,7,33,"{""1"": 1, ""2"": 10, ""3"": 22}"
01-PAN-20240420-113-325-L00000010882-CCD3_6,val,4,13,"{""3"": 13}"
01-PAN-20240420-113-325-L00000010882-CCD4_5,val,2,7,"{""1"": 1, ""2"": 4, ""3"": 2}"
01-PAN-20240420-113-325-L00000011195-CCD1_4,val,1,1,"{""3"": 1}"
01-PAN-20240421-105-323-L00000010830-CCD21_4,train,1,1,"{""3"": 1}"
01-PAN-20240421-423-694-L00000010874-CCD21_2,train,1,2,"{""3"": 2}"
01-PAN-20240421-423-694-L00000010874-CCD21_3,val,2,4,"{""3"": 4}"
01-PAN-20240421-423-694-L00000010874-CCD22_2,val,2,2,"{""3"": 2}"
01-PAN-20240422-253-245-L00000010552-CCD5_1,train,1,2,"{""3"": 2}"
01-PAN-20240422-253-245-L00000010552-CCD5_2,train,3,3,"{""3"": 3}"
01-PAN-20240422-253-245-L00000010552-CCD5_3,train,2,3,"{""3"": 3}"
01-PAN-20240422-253-245-L00000010552-CCD5_6,train,1,1,"{""3"": 1}"
01-PAN-20240423-029-368-L00000011028-CCD29_4,train,2,20,"{""3"": 20}"
01-PAN-20240423-439-569-L00000011168-CCD16_5,train,1,1,"{""3"": 1}"
01-PAN-20240423-439-569-L00000011327-CCD15_5,train,1,1,"{""3"": 1}"
01-PAN-20240423-439-569-L00000011327-CCD16_5,train,2,2,"{""3"": 2}"
01-PAN-20240424-146-259-L00000010574-CCD32_7,train,3,5,"{""1"": 1, ""2"": 1, ""3"": 3}"
01-PAN-20240424-146-259-L00000010814-CCD11_5,val,1,1,"{""3"": 1}"
01-PAN-20240424-146-260-L00000010815-CCD32_3,train,3,4,"{""2"": 1, ""3"": 3}"
01-PAN-20240429-304-323-L00000011120-CCD20_2,train,1,1,"{""3"": 1}"
01-PAN-20240429-304-323-L00000011120-CCD20_4,train,1,1,"{""3"": 1}"
01-PAN-20240429-304-323-L00000011120-CCD21_3,train,1,1,"{""3"": 1}"
01-PAN-20240430-104-336-L00000011523-CCD22_6,val,1,1,"{""3"": 1}"
01-PAN-20240430-104-336-L00000011523-CCD23_4,train,1,2,"{""3"": 2}"
01-PAN-20240430-104-343-L00000011530-CCD26_4,train,1,1,"{""3"": 1}"
01-PAN-20240430-104-348-L00000011535-CCD29_3,train,1,1,"{""3"": 1}"
01-PAN-20240430-104-349-L00000011536-CCD22_4,train,1,1,"{""3"": 1}"
01-PAN-20240430-227-632-L00000011561-CCD30_5,train,1,1,"{""3"": 1}"
01-PAN-20240430-227-632-L00000011561-CCD30_6,train,1,1,"{""3"": 1}"
01-PAN-20240430-297-348-L00000011339-CCD16_6,train,1,1,"{""3"": 1}"
01-PAN-20240506-094-666-L00000011756-CCD4_1,train,2,2,"{""3"": 2}"
01-PAN-20240506-094-666-L00000011756-CCD4_3,train,1,1,"{""3"": 1}"
01-PAN-20240506-094-666-L00000011756-CCD8_2,train,3,3,"{""3"": 3}"
01-PAN-20240506-094-666-L00000011756-CCD8_3,train,1,1,"{""3"": 1}"
01-PAN-20240506-094-666-L00000011756-CCD8_5,train,1,1,"{""3"": 1}"
01-PAN-20240506-094-666-L00000011756-CCD9_1,train,2,2,"{""3"": 2}"
01-PAN-20240506-094-666-L00000011756-CCD9_2,train,2,2,"{""3"": 2}"
01-PAN-20240506-094-666-L00000012249-CCD10_6,val,2,4,"{""3"": 4}"
01-PAN-20240506-094-666-L00000012249-CCD11_6,train,8,22,"{""3"": 22}"
01-PAN-20240506-124-321-L00000011847-CCD28_4,train,1,1,"{""3"": 1}"
01-PAN-20240506-124-321-L00000011847-CCD28_5,train,5,5,"{""3"": 5}"
01-PAN-20240506-124-321-L00000011847-CCD29_4,val,1,1,"{""3"": 1}"
01-PAN-20240506-124-321-L00000011847-CCD29_5,train,1,1,"{""3"": 1}"
01-PAN-20240510-097-233-L00000012258-CCD1_2,train,1,1,"{""3"": 1}"
01-PAN-20240510-097-233-L00000012258-CCD2_2,train,1,1,"{""3"": 1}"
01-PAN-20240511-122-548-L00000012428-CCD26_5,val,2,2,"{""3"": 2}"
01-PAN-20240511-122-548-L00000012428-CCD27_5,val,1,1,"{""3"": 1}"
01-PAN-20240511-122-548-L00000012428-CCD27_6,train,1,1,"{""3"": 1}"
01-PAN-20240511-122-548-L00000012428-CCD28_5,train,1,1,"{""3"": 1}"
01-PAN-20240511-152-202-L00000012357-CCD23_5,val,2,3,"{""3"": 3}"
01-PAN-20240513-108-689-L00000012464-CCD29_5,train,1,1,"{""3"": 1}"
01-PAN-20240513-108-689-L00000012464-CCD29_6,train,2,2,"{""3"": 2}"
01-PAN-20240513-108-690-L00000012465-CCD28_2,train,3,3,"{""3"": 3}"
01-PAN-20240513-108-690-L00000012465-CCD28_3,train,2,6,"{""3"": 6}"
01-PAN-20240513-108-690-L00000012465-CCD29_1,train,3,3,"{""3"": 3}"
01-PAN-20240513-108-690-L00000012465-CCD29_3,train,2,2,"{""3"": 2}"
01-PAN-20240513-108-690-L00000012465-CCD32_5,train,1,1,"{""3"": 1}"
01-PAN-20240513-108-691-L00000012466-CCD27_5,val,2,10,"{""2"": 10}"
01-PAN-20240513-139-166-L00000012468-CCD22_2,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-301-L00000012440-CCD1_4,train,4,11,"{""3"": 11}"
01-PAN-20240513-456-301-L00000012440-CCD1_5,train,11,28,"{""3"": 28}"
01-PAN-20240513-456-301-L00000012440-CCD1_6,train,2,3,"{""3"": 3}"
01-PAN-20240513-456-301-L00000012440-CCD2_4,val,1,2,"{""3"": 2}"
01-PAN-20240513-456-301-L00000012440-CCD2_6,train,4,11,"{""3"": 11}"
01-PAN-20240513-456-302-L00000012441-CCD1_1,train,2,3,"{""3"": 3}"
01-PAN-20240513-456-302-L00000012441-CCD1_2,train,3,5,"{""3"": 5}"
01-PAN-20240513-456-304-L00000012443-CCD11_4,train,10,20,"{""3"": 20}"
01-PAN-20240513-456-304-L00000012443-CCD11_6,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-304-L00000012443-CCD12_4,train,3,4,"{""3"": 4}"
01-PAN-20240513-456-304-L00000012443-CCD14_3,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-304-L00000012443-CCD15_3,train,8,39,"{""1"": 2, ""2"": 37}"
01-PAN-20240513-456-304-L00000012443-CCD15_6,train,2,2,"{""3"": 2}"
01-PAN-20240513-456-304-L00000012443-CCD16_1,train,2,2,"{""3"": 2}"
01-PAN-20240513-456-304-L00000012443-CCD16_2,train,4,7,"{""3"": 7}"
01-PAN-20240513-456-304-L00000012443-CCD16_3,train,1,1,"{""2"": 1}"
01-PAN-20240513-456-304-L00000012443-CCD16_6,train,2,2,"{""3"": 2}"
01-PAN-20240513-456-304-L00000012443-CCD17_2,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-304-L00000012443-CCD4_2,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-304-L00000012443-CCD5_1,val,1,2,"{""3"": 2}"
