candidate_id,models,fusion,configuration,d0_recall,d0_fdr,d3_recall,d3_fdr,worst_recall,worst_fdr,max_image_time_seconds,status,decision,artifact_path
INF012_baseline_a,A,route,"S/A/V=A/A/A; conf=.30/.30/.35; no group NMS",0.882586,0.191804,0.888840,0.184504,0.882586,0.191804,5.098644,completed,baseline_fdr_margin_small,runs/test/INF012_baseline_a
INF012_baseline_b,B,route,"S/A/V=B/B/B; conf=.30/.30/.35; no group NMS",0.865384,0.148484,0.868306,0.144098,0.865384,0.148484,0.082562,completed,local_conservative_platform_shift_failed,runs/test/INF012_baseline_b
INF012_baseline_c,C,route,"S/A/V=C/C/C; conf=.30/.30/.35; no group NMS",0.798630,0.228070,0.808783,0.217170,0.798630,0.228070,0.086787,rejected,recall_and_fdr_failed,runs/test/INF012_baseline_c
INF012_route_aab,A+B,route,"S/A/V=A/A/B; conf=.30/.30/.35",0.866125,0.155878,0.872173,0.148578,0.866125,0.155878,5.181206,completed,platform_aligned_route_recall_margin_limited,runs/test/INF012_route_aab
INF012_route_baa,A+B,route,"S/A/V=B/A/A; conf=.30/.30/.35",0.883220,0.183164,0.886348,0.178778,0.883220,0.183164,5.181206,completed,local_gain_hidden_ship_risk,runs/test/INF012_route_baa
INF012_ab_consensus_low,A+B,consensus,"IoU=.50; low consensus conf=.20/.20/.25; singles=.45/.35/.45",0.886389,0.230314,0.889035,0.226015,0.886389,0.230314,5.181206,rejected,fdr_failed,runs/test/INF012_ab_consensus_base
INF012_abc_vote2_calibrated,A+B+C,vote,"support>=2; IoU=.50; conf=.30/.30/.35; group NMS=.50",0.883846,0.224721,0.891937,0.216144,0.883846,0.224721,5.256959,rejected,correlated_false_alarms,runs/test/INF012_abc_vote2_calibrated
INF012_abc_consensus_mean,A+B+C,consensus,"mean score; IoU=.50; support thresholds; group NMS=.50",0.885205,0.215319,0.892028,0.207860,0.885205,0.215319,5.256959,rejected,fdr_failed,runs/test/INF012_abc_consensus_mean
INF012_abc_consensus_classvote,A+B+C,consensus,"category vote; IoU=.50; support thresholds; group NMS=.50",0.886381,0.234655,0.893806,0.226798,0.886381,0.234655,5.256959,rejected,model_c_added_false_alarms,runs/test/INF012_abc_consensus_classvote
INF012_P1_balanced,A+B,consensus,"IoU=.50; group NMS=.50; consensus=.25/.30/.50; singles=.45/.40/.50; QHS=.20; MS=.30",0.883983,0.165283,0.885912,0.161953,0.883983,0.165283,5.181206,selected,current_balanced_candidate,runs/test/INF012_ab_consensus_shipclass_sweep
INF012_P2_conservative,A+B,consensus,"IoU=.50; group NMS=.50; consensus=.25/.30/.50; singles=.45/.40/.50; QHS=.20; MS=.40",0.882716,0.160205,0.884043,0.157314,0.882716,0.160205,5.181206,selected,current_conservative_candidate,runs/test/INF012_ab_consensus_shipclass_sweep
INF012_P3_low_fdr,A+B,route,"S/A/V=A/A/B; group=.20/.30/.50; QHS=.30; MS=.45",0.860422,0.113298,0.866566,0.105561,0.860422,0.113298,5.181206,diagnostic,low_fdr_bound_recall_margin_too_small,runs/test/INF012_route_aab_shipclass_sweep
